isin,weight
JP3128800004,0.006093206589966478
AU0000013559,0.007200066439029044
ES0148396007,0.10121303928422402
JP3278600006,0.006547118476376609
JP3944130008,0.010724695685178712
JP3306600002,0.005798567797936938
KYG319891092,0.01561999739936329
DK0060946788,0.014999981292185586
GB00B02L3W35,0.020959196690870346
US30034W1062,0.01608410544090759
US14149Y1082,0.04265892814362477
US03076C1062,0.056575024092314824
US1156372096,0.04142929775067985
JP3551200003,0.0028655532421072542
ES0143416115,0.02369270523738775
JP3903000002,0.0009487331096558886
JP3161200005,0.005033914241711292
JP3305990008,0.004953999852069731
US26441C2044,0.09980383276528454
HK0000063609,0.0030192061910879592
JP3647800006,0.005266121504205969
CA1363751027,0.034155802954472306
GB0059822006,0.010382365569547317
JP3104890003,0.011856466210644815
DK0060094928,0.05279059598955708
CA8667961053,0.033449299640865196
DE000A1J5RX9,0.006043947243065273
SE0000114837,0.007679215912989164
DE000ENAG999,0.05198228768331044
JP3768600003,0.0082530310816432
JP3819400007,0.0021790731742681374
US8725401090,0.1901575586411684
JP3274280001,0.0079604147250924
JP3977400005,0.0037297750958143203
NO0010310956,0.00903711124140465
NZFBUE0001S0,0.007123396537621282
US4824801009,0.08953430183946674
IE00BY7QL619,0.08357304934078139
AU000000ANZ3,0.07067915292294791
JP3246400000,0.007577028729135709
US8716071076,0.06850017418057458
JP3979200007,0.0309912202604251
JP3481800005,0.11556628715911395
DE0005785802,0.020465050494884042
DE0007037129,0.023825917522166996
FR0000120222,0.006420919337112262
JP3787000003,0.006193769030613583
GB0000904986,0.014020598497761114
US87918A1051,0.044621120292825237
US15135B1017,0.08915372205267139
US2566771059,0.0335410491839579
AU000000AST5,0.004511805973509134
US09260D1072,0.10930865456759717
FI4000312251,0.0033614311023906548
US68389X1054,0.26030753312929233
AU000000FMG4,0.06916904137925212
US96145D1054,0.0067892946393734175
FI4000074984,0.010500917066686271
AT0000937503,0.004823607386376471
CA2908761018,0.014357950137263898
US30040W1080,0.05979846928370534
US2310211063,0.0721187516333729
DE000A1DAHH0,0.036309508596473486
US00123Q1040,0.018313107655138668
SE0000242455,0.04245531574713916
IE00BZ12WP82,0.08142561003939233
JP3896800004,0.009444642089510076
JP3689050007,0.015145524641107591
JP3835630009,0.004228387349434663
US34959E1091,0.049598453262661664
JP3351200005,0.005095335015608937
FR0000054470,0.014623313308940762
GB00BGLP8L22,0.012241543046132718
SE0011166933,0.02765076269548916
AU000000OZL8,0.012253412592937862
PLKGHM000017,0.011197982416139873
US1091941005,0.002440324173595682
US57060D1081,0.033118509663993
FI0009014377,0.00869574496965532
US1266501006,0.2593809305318842
JP3122800000,0.008061043625715192
US5260571048,0.07247965224502657
JP3753400005,0.010553259357860856
US8168511090,0.07702132753290498
US2358511028,0.17071569373991977
JP3046270009,0.0014879814722248065
JP3495000006,0.007052810641487956
US4062161017,0.04059134265109209
US4435731009,0.039040645871189085
JP3970300004,0.16524624457701714
JP3955800002,0.0016647743474634301
JE00BJVNSS43,0.05933346851049809
IT0000062072,0.060427645695148254
IE00BYTBXV33,0.00410642894897759
US6558441084,0.03749973375125595
AU000000TLS2,0.015967147511827644
CH0012410517,0.01483566749912546
US0865161014,0.07275652305083997
CA01626P4033,0.06432493010578544
US34964C1062,0.028852682725420294
AT0000606306,0.00295436353936465
US42250P1030,0.013138359348217075
FR0000121121,0.0073124327774658285
US98850P1093,0.03992480564697521
US33616C1009,0.03745693624100711
AU000000WTC3,0.0068858962125270436
US77543R1023,0.07699431595688416
US8175651046,0.003057187053678529
JP3802300008,0.20089269241692354
US00507V1098,0.16903482126988312
SE0000163628,0.011780156045625639
US6745991058,0.009372570006259295
US0236081024,0.02589396368986982
JP3906000009,0.015790493531678638
JP3368000000,0.006226796311999765
IE00BK9ZQ967,0.08399280526028595
DK0060952919,0.00781710609189858
AU000000ORI1,0.004958657818518185
IE0000669501,0.003593496211866564
US6658591044,0.041438275204957464
DE000A12DM80,0.015058658861077125
FR0000120073,0.05026985964743869
US7237871071,0.04325641553342432
GB00BG49KP99,0.012548210414854795
AU000000GPT8,0.0033531459623993556
DK0010274414,0.03742585638324713
US16119P1084,0.18278062574429638
GB00B03MLX29,0.17057279746184054
CH0496451508,0.004794496229626173
US7443201022,0.07825287155342371
JP3429300001,0.006446928955194414
IE0002424939,0.018305072429351983
JP3277800003,0.01709877170336034
GB0007099541,0.1233756013529577
KYG1674K1013,0.006431143171627001
US8962391004,0.04375824887716976
JP3635000007,0.021369721599233022
AU000000DXS1,0.004683066398147155
PTGAL0AM0009,0.013307919901174069
CH0014284498,0.002009752015923607
AU000000TCL6,0.047778117724088444
GB00BVYVFW23,0.014497971274010783
CH0009002962,0.013601327845271726
US1598641074,0.017978922379738672
US2600031080,0.04326124358277996
US91324P1021,0.9437230699431367
SG1T75931496,0.012057009424384396
US5398301094,0.21928443713567922
US30231G1022,0.4184874795631417
JP3424950008,0.005489239341438946
DE0005470405,0.010285783244224519
SE0001515552,0.014436422961312801
GB00BYYTFB60,0.009163131579476508
US4461501045,0.007354543295852341
US0367521038,0.23403663512405193
GB00BKKMKR23,0.018822469164820527
AU0000088338,0.01328757765055882
JP3160400002,0.03759458757359794
JP3291200008,0.004409917396292937
NL0013654783,0.08453116745492639
HK0066009694,0.008152016351586008
US02079K1079,1.410876263121975
US69351T1060,0.029987542282709112
NZTELE0001S4,0.014175752228440391
US59522J1034,0.01823912883347021
US59156R1086,0.1220311961761533
JP3143000002,0.009382037023464237
SG1U76934819,0.005367694200047782
JP3549600009,0.003923692681811387
