isin,weight
JP3128800004,0.004767257438771956
AU0000013559,0.00745969761995436
ES0148396007,0.0673708030999584
JP3278600006,0.009527052289472197
JP3944130008,0.008000356157730301
JP3306600002,0.004091016721487313
KYG319891092,0.010548536233671097
DK0060946788,0.016427274065041474
GB00B02L3W35,0.013497930899723438
US30034W1062,0.02569656029100672
US14149Y1082,0.03135839144265126
AU000000SOL3,0.005654362343221817
US03076C1062,0.05399711763478392
US1156372096,0.041811770074320936
JP3551200003,0.005177718209547043
ES0143416115,0.013818100188060787
JP3903000002,0.005226004509615435
JP3161200005,0.004014116453900789
JP3305990008,0.008035392858552022
US26441C2044,0.13124163389846769
HK0000063609,0.005556553781468783
JP3647800006,0.003397379908163684
CA1363751027,0.1324195496036709
GB0059822006,0.00949731679591427
JP3104890003,0.011585902517246002
DK0060094928,0.046817122386367836
CA8667961053,0.05458642744487125
JP3300600008,0.005033266208376006
SE0000114837,0.010770615529460594
DE000ENAG999,0.043346165744999374
JP3768600003,0.006672077385474321
JP3819400007,0.004625054916833186
US8725401090,0.1509659780970509
JP3274280001,0.005729445911222695
JP3977400005,0.007547565869774848
NO0010310956,0.006425174641815119
NZFBUE0001S0,0.007614357125203031
US4824801009,0.08625233412220755
IE00BY7QL619,0.07944466606036892
AU000000ANZ3,0.10532035825461869
JP3246400000,0.007667740471601892
US8716071076,0.06695120945576402
JP3979200007,0.02955051821188091
JP3481800005,0.10414564138085042
DE0005785802,0.026871639588376534
DE0007037129,0.04365068722720056
FR0000120222,0.004308220942536889
JP3787000003,0.005748476063025546
GB0000904986,0.010715051023683295
US87918A1051,0.0394918935614555
US15135B1017,0.06339359807675854
US2566771059,0.09317339196045536
AU000000AST5,0.00458369114121861
US09260D1072,0.1071739795103573
FI4000312251,0.007646692376161747
US68389X1054,0.2455137255066501
AU000000FMG4,0.05042169109165899
US96145D1054,0.025931193026045036
FI4000074984,0.009471529917719388
AT0000937503,0.008195814108542716
CA2908761018,0.019764027228983575
US30040W1080,0.0523471260964201
US2310211063,0.06606387845957075
DE000A1DAHH0,0.02361293236273856
SE0000242455,0.026025969026487617
IE00BZ12WP82,0.2540077779189373
JP3896800004,0.00851732488322577
JP3689050007,0.01453131884973448
JP3835630009,0.0035002276141590234
US34959E1091,0.04865054941576479
JP3351200005,0.008070306843599915
FR0000054470,0.013226739999062593
GB00BGLP8L22,0.0109832451541682
SE0011166933,0.023224615749921025
CH0002432174,0.0060984229278500625
AU000000OZL8,0.010229087149183348
PLKGHM000017,0.012410453197431679
US57060D1081,0.03285815387443949
FI0009014377,0.007996693205542811
US1266501006,0.17710311624481367
JP3122800000,0.0068831464519955666
US5260571048,0.05047602120272439
JP3753400005,0.007946253319787712
US8168511090,0.07028736679839093
US2358511028,0.2999255252549532
JP3046270009,0.005949402174341362
GB00B7KR2P84,0.005689736339086915
JP3495000006,0.00590282558886289
JP3153480003,0.0035996319010986864
US4062161017,0.030621948636724586
US4435731009,0.042793766187587026
JP3970300004,0.13571460963414925
JP3955800002,0.004737348037120724
JE00BJVNSS43,0.05099113886427702
IT0000062072,0.04392573904869977
IE00BYTBXV33,0.019497266839030438
US6558441084,0.12560322783641606
AU000000TLS2,0.051923498894044434
CH0012410517,0.014392724838930528
US0865161014,0.047467514461861766
CA01626P4033,0.04992437447632451
US34964C1062,0.02583358843060548
AT0000606306,0.005043396045342468
US42250P1030,0.03274192567425464
FR0000121121,0.006897425069584872
US98850P1093,0.0467294649887893
US33616C1009,0.05643878509043094
AU000000WTC3,0.006889891728052841
US77543R1023,0.06620433019155647
JP3802300008,0.11439240708333676
US00507V1098,0.12480943161832732
SE0000163628,0.008404151125193752
US6745991058,0.03778641429854081
US0236081024,0.037143151914020706
JP3906000009,0.01896787146502217
JP3368000000,0.008029100221436408
IE00BK9ZQ967,0.07392931179378613
DK0060952919,0.007944861562716067
AU000000ORI1,0.007105655574901095
IE0000669501,0.004979974597156532
US6658591044,0.04194864940548737
DE000A12DM80,0.012014421923374331
FR0000120073,0.1358360066249867
US7237871071,0.05898498664241645
GB00BG49KP99,0.007867942988763326
AU000000GPT8,0.009821378579131042
DK0010274414,0.022261772276479772
US16119P1084,0.16429697268189541
GB00B03MLX29,0.13295115725873055
CH0496451508,0.004519784215096965
US7443201022,0.07038557603713398
JP3429300001,0.00455315646524015
IE0002424939,0.015310872939508982
JP3277800003,0.014045313222716883
GB0007099541,0.09630481174742131
KYG1674K1013,0.009450878498093384
US8962391004,0.036329831474920554
JP3635000007,0.017839625657989133
AU000000DXS1,0.014264019649865674
PTGAL0AM0009,0.009652186941591185
CH0014284498,0.006939835839667276
AU000000TCL6,0.04996518559274588
GB00BVYVFW23,0.013288401971533952
CH0009002962,0.0116220115325032
US1598641074,0.029270418010885372
US2600031080,0.03806699279434509
US91324P1021,0.6701075766875806
SG1T75931496,0.026386704996527215
US5398301094,0.18879404251932705
US30231G1022,0.4286202893703877
JP3424950008,0.005250245924649935
DE0005470405,0.010381310806005918
SE0001515552,0.011877365316897044
GB00BYYTFB60,0.007767304535485591
US4461501045,0.027597971970926588
US0367521038,0.16709267658722518
GB00BKKMKR23,0.01699201274487034
AU0000088338,0.008229662599858356
JP3160400002,0.03425688654509619
JP3291200008,0.0068911128193916114
NL0013654783,0.08210821363054926
HK0066009694,0.015229265049561192
US02079K1079,1.3259335826269967
US69351T1060,0.039663838129767565
NZTELE0001S4,0.010353806920872108
US59522J1034,0.031861306750224784
US59156R1086,0.08610050087989357
JP3143000002,0.006531148153400619
SG1U76934819,0.005005411060992769
